dataset,term,component,E,P,A
usfullsurveyor2015,chide,behavior,-0.93,0.46,0.62
usfullsurveyor2015,chief_operations_officer,identity,0.83,2.45,1.15
usfullsurveyor2015,child,identity,1.89,-1.14,1.87
usfullsurveyor2015,child_molester,identity,-4.19,-0.05,-1.07
usfullsurveyor2015,childish,modifier,-1.12,-1.24,2.18
usfullsurveyor2015,chinese,identity,1.17,0.41,0.13
usfullsurveyor2015,chiropractor,identity,1.77,1.38,-0.36
usfullsurveyor2015,choke,behavior,-3.45,1.92,1.65
usfullsurveyor2015,choose,behavior,2.11,2.44,-0.09
usfullsurveyor2015,choreographer,identity,1.27,1.21,1.97
usfullsurveyor2015,christian,identity,1.5,1.44,0.65
usfullsurveyor2015,christian_missionary,identity,1.72,1.67,0.43
usfullsurveyor2015,chum,identity,-0.67,-0.97,-0.95
usfullsurveyor2015,church_deacon,identity,1.41,1.4,-0.17
usfullsurveyor2015,citizen,identity,1.35,0.93,0.39
usfullsurveyor2015,city_councilor,identity,0.66,1.8,0.7
usfullsurveyor2015,civil_engineer,identity,1.7,1.55,-0.02
usfullsurveyor2015,civil_servant,identity,1.18,-0.17,-0.54
usfullsurveyor2015,classmate,identity,0.98,0.15,0.24
usfullsurveyor2015,clean_cut,modifier,2.01,1.39,-0.27
usfullsurveyor2015,cleaning_woman,identity,1.82,0.16,-0.05
usfullsurveyor2015,clergy,identity,1.08,1.44,-0.73
usfullsurveyor2015,clerical_worker,identity,1.11,-0.09,-0.47
usfullsurveyor2015,clerk,identity,0.98,-0.4,-0.09
usfullsurveyor2015,clever,modifier,2.29,2.37,0.66
usfullsurveyor2015,client,identity,1.36,1.12,0.91
usfullsurveyor2015,cling_to,behavior,-0.84,-1.39,-0.13
usfullsurveyor2015,clod,identity,-1.12,-0.51,-0.42
usfullsurveyor2015,clown,identity,-0.05,-0.98,2.04
usfullsurveyor2015,club,behavior,-2.85,1.58,1.93
usfullsurveyor2015,clumsy,modifier,-1.04,-1.19,1.07
usfullsurveyor2015,co_worker,identity,1.42,0.29,0.5
usfullsurveyor2015,coach,behavior,2.48,2.18,1.21
usfullsurveyor2015,coach,identity,1.96,2.37,2.19
usfullsurveyor2015,coal_miner,identity,0.84,0.11,0.54
usfullsurveyor2015,coax,behavior,-0.13,0.99,-0.11
usfullsurveyor2015,cocky,modifier,-1.94,-0.32,1.79
usfullsurveyor2015,coddle,behavior,-0.2,0.36,-0.43
usfullsurveyor2015,coerce,behavior,-1.04,1.64,0.52
usfullsurveyor2015,cold,modifier,-1.81,-0.7,-1.74
usfullsurveyor2015,collaborate_with,behavior,2.3,2.07,0.77
usfullsurveyor2015,collaborator,identity,1.52,1.41,0.69
usfullsurveyor2015,colleague,identity,1.46,0.93,0.22
usfullsurveyor2015,college_student,identity,1.82,0.44,1.87
usfullsurveyor2015,combat,behavior,-1.32,1.3,1.94
usfullsurveyor2015,comedian,identity,1.94,1.19,2.88
usfullsurveyor2015,comfort,behavior,3.38,2.6,-1.39
usfullsurveyor2015,command,behavior,-0.43,2.22,1.68
usfullsurveyor2015,commend,behavior,2.31,1.96,0.47
usfullsurveyor2015,commentator,identity,0.89,0.92,1.86
usfullsurveyor2015,commissioned_officer,identity,1.25,1.97,0.8
usfullsurveyor2015,commissioner,identity,0.99,1.88,0.59
usfullsurveyor2015,communicative,modifier,2.63,2.54,1.06
usfullsurveyor2015,communist,identity,-1.23,0.34,0.36
usfullsurveyor2015,companion,identity,3.09,1.97,0.15
usfullsurveyor2015,compassionate,modifier,3.13,2.46,0.18
usfullsurveyor2015,compensate,behavior,2.43,1.45,-0
usfullsurveyor2015,compete_with,behavior,1.27,1.47,1.78
usfullsurveyor2015,competent,modifier,2.81,2.74,0.43
usfullsurveyor2015,competitive,modifier,1.43,1.66,2.04
usfullsurveyor2015,competitor,identity,0.52,1.59,1.4
usfullsurveyor2015,complain_about,behavior,-1.69,-0.86,1.03
usfullsurveyor2015,complain_to,behavior,-0.93,-0.46,1.33
usfullsurveyor2015,compliment,behavior,3.02,2.55,0.59
usfullsurveyor2015,comply_with,behavior,1.15,0.14,-0.51
usfullsurveyor2015,composed,modifier,2.58,2.17,-1.43
usfullsurveyor2015,compromise_with,behavior,2.08,1.97,-0.18
usfullsurveyor2015,compulsive,modifier,-0.65,-0.21,1.81
usfullsurveyor2015,computer_programmer,identity,1.51,1.46,0.01
usfullsurveyor2015,computer_security_specialist,identity,1.57,1.45,-0.59
usfullsurveyor2015,computer_support_specialist,identity,1.33,0.82,-0.02
usfullsurveyor2015,con,behavior,-2.75,0.91,0.7
usfullsurveyor2015,con_artist,identity,-2.61,1.3,0.95
usfullsurveyor2015,concede_to,behavior,-0.44,-0.66,-0.98
usfullsurveyor2015,conceited,modifier,-2.48,-0.36,1.05
usfullsurveyor2015,concur_with,behavior,1.61,1.21,-0.04
usfullsurveyor2015,condemn,behavior,-2.62,1.42,0.93
usfullsurveyor2015,confer_with,behavior,1.58,1.4,-0.13
usfullsurveyor2015,confess_to,behavior,1.69,1.69,0.03
usfullsurveyor2015,confidant,identity,2.43,2.32,-0.64
usfullsurveyor2015,confide_in,behavior,1.96,1.65,-1.26
usfullsurveyor2015,confident,modifier,2.92,3.03,0.88
usfullsurveyor2015,confine,behavior,-2.18,1.05,-0.16
usfullsurveyor2015,conformist,identity,-0.99,-1.89,-0.92
usfullsurveyor2015,confound,behavior,-0.32,1,0.4
usfullsurveyor2015,confront,behavior,0.39,1.99,1.28
usfullsurveyor2015,confuse,behavior,-1.26,0.5,0.07
usfullsurveyor2015,confused,modifier,-1.66,-1.43,-0.58
usfullsurveyor2015,congratulate,behavior,2.88,2.13,1.51
usfullsurveyor2015,connoisseur,identity,1.49,0.92,-0.01
usfullsurveyor2015,conscientious,modifier,2.15,1.58,-0.6
usfullsurveyor2015,conservative,identity,0.44,0.52,-0.23
usfullsurveyor2015,conservative,modifier,0.43,0.79,-0.33
usfullsurveyor2015,consider,behavior,2.05,1.49,-0.24
usfullsurveyor2015,considerate,modifier,3.35,2.49,-0.54
usfullsurveyor2015,console,behavior,2.72,2.15,-1.12
usfullsurveyor2015,conspire_against,behavior,-2.19,1.17,-0.26
usfullsurveyor2015,conspire_with,behavior,-0.53,1.24,0.08
usfullsurveyor2015,constrain,behavior,-1.91,1.47,0.65
usfullsurveyor2015,construction_contractor,identity,1.37,1.38,1.35
usfullsurveyor2015,construction_foreman,identity,1.13,1.47,1.42
usfullsurveyor2015,construction_laborer,identity,1.33,0.68,1.59
usfullsurveyor2015,consult,behavior,1.77,1.16,0.04
usfullsurveyor2015,consultant,identity,1.53,1.61,0.77
usfullsurveyor2015,consumer,identity,1.22,1.23,0.78
usfullsurveyor2015,contact,behavior,1.53,1.31,0.74
usfullsurveyor2015,contemplate,behavior,0.96,1.1,-1.22
usfullsurveyor2015,contemptuous,modifier,-1.46,-0.33,0.47
usfullsurveyor2015,contented,modifier,2.35,1.7,-0.74
usfullsurveyor2015,contradict,behavior,-0.31,0.67,0.71
usfullsurveyor2015,contrite,modifier,0.08,0.21,-0.52
usfullsurveyor2015,control,behavior,-2.01,2.32,0.25
usfullsurveyor2015,conventional,modifier,0.51,-0.09,-0.78
usfullsurveyor2015,converse_with,behavior,2.19,1.67,0.78
usfullsurveyor2015,convert,behavior,0.13,1.94,-0.13
usfullsurveyor2015,convict,behavior,-0.47,1.97,0.66
usfullsurveyor2015,convict,identity,-2.09,-0.98,0.36
usfullsurveyor2015,convince,behavior,1.11,2.14,0.58
usfullsurveyor2015,cook,identity,2.24,1.69,1.58
usfullsurveyor2015,cool,modifier,1.69,1.46,0.61
usfullsurveyor2015,cooperate_with,behavior,2.85,1.81,-0.32
usfullsurveyor2015,cooperative,modifier,2.44,1.62,-0.5
usfullsurveyor2015,cop,identity,0.99,2.71,1.05
usfullsurveyor2015,copycat,identity,-1.93,-1.28,0.13
usfullsurveyor2015,corner,behavior,-1.73,1.61,0.95
usfullsurveyor2015,coroner,identity,0.64,0.69,-0.95
usfullsurveyor2015,correct,behavior,0.49,1.02,0.85
usfullsurveyor2015,corrupt,behavior,-3.03,1.8,-0.07
usfullsurveyor2015,cosmetologist,identity,1.31,0.3,0.6
usfullsurveyor2015,counsel,behavior,2.62,2.23,-0.94
usfullsurveyor2015,counselor,identity,2.54,1.66,-0.78
usfullsurveyor2015,courageous,modifier,2.93,3.2,1.26
usfullsurveyor2015,court,behavior,1.93,1.62,-0.3
usfullsurveyor2015,courteous,modifier,3.32,2.36,-0.22
usfullsurveyor2015,cousin,identity,1.58,0.38,0.7
usfullsurveyor2015,coward,identity,-2.39,-2.95,-1.63
usfullsurveyor2015,cowardly,modifier,-2.27,-2.8,-1.58
usfullsurveyor2015,coy,modifier,0.03,0.06,-1.08
usfullsurveyor2015,cpa,identity,0.88,1.48,-0.5
usfullsurveyor2015,craftsman,identity,1.59,1.07,-0.31
usfullsurveyor2015,crafty,modifier,2.02,1.71,0.13
usfullsurveyor2015,crane_operator,identity,0.94,1.23,0.29
usfullsurveyor2015,crazy,modifier,-0.92,0.03,2.03
usfullsurveyor2015,creative,modifier,2.9,2.28,0.83
usfullsurveyor2015,credible,modifier,3.09,2.95,-0.22
usfullsurveyor2015,creditor,identity,-0.45,1.63,0.63
usfullsurveyor2015,criminal,identity,-2.55,-0.21,0.5
usfullsurveyor2015,cripple,behavior,-3.31,1.4,0.93
usfullsurveyor2015,cripple,identity,-0.08,-1.88,-1.78
usfullsurveyor2015,critic,identity,-0.42,1.3,1.15
usfullsurveyor2015,critical,modifier,0.11,1.35,1.04
usfullsurveyor2015,criticize,behavior,-1.12,0.73,1.15
usfullsurveyor2015,crook,identity,-2.81,-0.33,0.18
usfullsurveyor2015,cross_examine,behavior,0.11,1.28,0.76
usfullsurveyor2015,crude,modifier,-2.09,-0.23,1.11
usfullsurveyor2015,cruel,modifier,-3.47,0.5,0.55
usfullsurveyor2015,crushed,modifier,-2.94,-0.52,-1.05
usfullsurveyor2015,cry_for,behavior,0.42,0.7,0.13
usfullsurveyor2015,crybaby,identity,-2.32,-1.93,2
usfullsurveyor2015,cuddle,behavior,3.17,1.75,-1.8
usfullsurveyor2015,cue,behavior,1.19,1.44,0.16
usfullsurveyor2015,culprit,identity,-2.13,-0.22,0.61
usfullsurveyor2015,cultivated,modifier,1.78,1.6,-0.14
usfullsurveyor2015,cunning,modifier,0.72,1.77,0.16
usfullsurveyor2015,cure,behavior,3.71,3.63,0.07
usfullsurveyor2015,curious,modifier,2.25,1.71,0.51
usfullsurveyor2015,curry_favor_from,behavior,0.28,0.15,0.37
usfullsurveyor2015,curse,behavior,-2.51,0.22,1.31
usfullsurveyor2015,curtsey_to,behavior,1.52,0.12,-0.9
usfullsurveyor2015,custodian,identity,1.54,-0.82,-0.93
usfullsurveyor2015,customer,identity,1.1,1.27,0.67
usfullsurveyor2015,customer_systems_analyst,identity,0.9,0.33,-0.6
usfullsurveyor2015,customs_officer,identity,0.45,1.37,0.13
usfullsurveyor2015,cut,behavior,-3.07,1.62,0.6
usfullsurveyor2015,cut_off_relations_with,behavior,-0.92,1.45,-0
usfullsurveyor2015,cut_someone_down_to_size,behavior,-1.3,1.14,1.32
usfullsurveyor2015,cut_the_pay_of,behavior,-2.29,1.97,0.14
usfullsurveyor2015,cute,modifier,2.12,1.26,0.24
usfullsurveyor2015,cutthroat,identity,-1.94,1.33,0.97
usfullsurveyor2015,cynic,identity,-1.43,-0.48,0.13
usfullsurveyor2015,cynical,modifier,-1.68,-0.35,-0.03
usfullsurveyor2015,dairy_farmer,identity,1.62,0.42,-0.62
usfullsurveyor2015,damn,behavior,-2.68,0.79,1.24
usfullsurveyor2015,dance_with,behavior,2.71,1.48,0.95
usfullsurveyor2015,dare,behavior,-0.53,0.86,1.24
usfullsurveyor2015,daredevil,identity,0.51,1.74,3.08
usfullsurveyor2015,daring,modifier,1.24,1.99,2.04
usfullsurveyor2015,date,behavior,2.24,1.53,0.75
usfullsurveyor2015,daughter,identity,1.99,1.07,1.02
usfullsurveyor2015,daughter_in_law,identity,1.25,0.21,0.13
usfullsurveyor2015,dazzle,behavior,2.31,2.06,1.57
usfullsurveyor2015,deadbeat,identity,-2.8,-2.57,-1.45
usfullsurveyor2015,deadbeat_dad,identity,-3.3,-1.13,-0.76
usfullsurveyor2015,deafen,behavior,-2.47,0.99,1.58
usfullsurveyor2015,debase,behavior,-1.72,0.34,0.22
usfullsurveyor2015,debate_with,behavior,1.15,1.73,1.81
usfullsurveyor2015,debrief,behavior,1.39,1.52,0.07
usfullsurveyor2015,deceitful,modifier,-2.82,0.53,-0.34
usfullsurveyor2015,deceive,behavior,-2.86,0.43,-0.27
usfullsurveyor2015,decent,modifier,2.71,1.65,-0.57
usfullsurveyor2015,decisive,modifier,2.62,2.33,1.25
usfullsurveyor2015,decorate,behavior,1.28,1.11,0.63
usfullsurveyor2015,decorator,identity,1.7,0.81,0.84
usfullsurveyor2015,defame,behavior,-1.86,0.8,0.99
usfullsurveyor2015,defeat,behavior,0.82,2.08,1.38
usfullsurveyor2015,defend,behavior,2.74,2.86,1.64
usfullsurveyor2015,defendant,identity,0.14,-0.32,-0.15
usfullsurveyor2015,defense_attorney,identity,0.86,2.05,1.44
usfullsurveyor2015,defensive,modifier,-0.14,0.25,0.95
usfullsurveyor2015,defer_to,behavior,-0.16,0.43,-0.44
usfullsurveyor2015,defiant,modifier,-0.82,0.96,1.41
usfullsurveyor2015,defile,behavior,-3.13,0.46,1.09
usfullsurveyor2015,deflate,behavior,-2.26,1.08,0.53
usfullsurveyor2015,deflated,modifier,-2.23,-1.59,-1.73
usfullsurveyor2015,defy,behavior,-1.2,1.24,0.83
usfullsurveyor2015,degenerate,identity,-1.6,-1.5,-0.48
usfullsurveyor2015,degrade,behavior,-3.52,0.75,0.18
usfullsurveyor2015,dejected,modifier,-2.44,-0.71,-1.43
usfullsurveyor2015,delay,behavior,-1.93,0.47,-0.12
usfullsurveyor2015,delay_payment_to,behavior,-2.72,0.05,-0.97
usfullsurveyor2015,delicate,modifier,0.79,-0.48,-1.99
usfullsurveyor2015,delight,behavior,2.9,2.25,0.93
usfullsurveyor2015,delighted,modifier,3.41,2.65,1.37
usfullsurveyor2015,delinquent,identity,-2.28,-1.31,1.2
usfullsurveyor2015,delude,behavior,-1.71,1.1,-0.48
usfullsurveyor2015,demand,behavior,-1.34,1.46,1.57
usfullsurveyor2015,demanding,modifier,-1.02,0.95,2
usfullsurveyor2015,demean,behavior,-2.63,0.5,1.2
usfullsurveyor2015,demoralize,behavior,-3.18,1,0.66
usfullsurveyor2015,demote,behavior,-1.34,1.27,0.43
usfullsurveyor2015,demure,modifier,0.66,0.02,-0.99
usfullsurveyor2015,denigrate,behavior,-2.07,0.6,0.74
usfullsurveyor2015,denounce,behavior,-1.87,1.29,1.08
usfullsurveyor2015,dental_assistant,identity,1.4,0,0.05
usfullsurveyor2015,dental_hygienist,identity,1.68,0.86,0.34
usfullsurveyor2015,dentist,identity,1.62,1.51,0.08
usfullsurveyor2015,deny,behavior,-0.87,1.51,0.1
usfullsurveyor2015,dependable,modifier,3.23,2.78,0
usfullsurveyor2015,dependent,modifier,-1.26,-1.74,-0.98
usfullsurveyor2015,deport,behavior,-1.41,2.02,1.05
usfullsurveyor2015,deprave,behavior,-2.41,0.64,-0.05
usfullsurveyor2015,deprave,modifier,-2.25,-0.12,-0.13
usfullsurveyor2015,deprecate,behavior,-2.3,0.18,0.54
usfullsurveyor2015,depress,behavior,-3.39,0.71,-0.93
usfullsurveyor2015,depressed,modifier,-3.37,-1.98,-2.88
usfullsurveyor2015,deprive,behavior,-2.39,1.23,-0.34
usfullsurveyor2015,deputy,identity,1.08,2,0.8
usfullsurveyor2015,deride,behavior,-1.58,0.05,0.67
usfullsurveyor2015,desert,behavior,-2.86,0.48,-0.07
usfullsurveyor2015,desire,behavior,1.2,0.8,-0.08
usfullsurveyor2015,desire_sexually,behavior,1.58,1.51,1.28
usfullsurveyor2015,desperate,modifier,-2.89,-1.5,-0.57
usfullsurveyor2015,despise,behavior,-2.11,0.29,0.2
usfullsurveyor2015,despondent,modifier,-1.85,-1.43,-1.68
usfullsurveyor2015,destroy,behavior,-3.73,2.28,1.84
usfullsurveyor2015,detain,behavior,-0.91,1.81,0.47
usfullsurveyor2015,detective,identity,1.65,1.93,-0.8
usfullsurveyor2015,deter,behavior,-1.09,1.05,0.24
usfullsurveyor2015,determined,modifier,2.82,2.83,0.72
usfullsurveyor2015,detest,behavior,-1.97,0.26,0.48
usfullsurveyor2015,devil,identity,-3.46,1.62,1.05
usfullsurveyor2015,devoted,modifier,2.93,2.32,-0.22
usfullsurveyor2015,diagnose,behavior,1.21,2.07,-0.5
usfullsurveyor2015,dicker_with,behavior,-1.17,-0.04,0.91
usfullsurveyor2015,diddle,behavior,-0.86,0.46,1.07
usfullsurveyor2015,dietitian,identity,1.56,0.9,-0.32
usfullsurveyor2015,diffident,modifier,0.11,0.56,-0.6
usfullsurveyor2015,dignified,modifier,2.52,2.46,-0.43
usfullsurveyor2015,diligent,modifier,3.11,2.45,-0.24
usfullsurveyor2015,dimwit,identity,-1.41,-1.98,-1.3
usfullsurveyor2015,dine_with,behavior,2.38,1.21,0.07
usfullsurveyor2015,diner,identity,1.37,-0.33,1.6
usfullsurveyor2015,diplomat,identity,1.2,2.21,0.8
usfullsurveyor2015,direct,behavior,1.59,1.94,1.02
usfullsurveyor2015,dirty,modifier,-1.51,-0.72,0.33
usfullsurveyor2015,disable,behavior,-2.7,0.75,0.77
usfullsurveyor2015,disabled,modifier,-1.34,-1.23,-1.49
usfullsurveyor2015,disabled_person,identity,0.32,-1.07,-1.25
usfullsurveyor2015,disagree_with,behavior,0.11,1.26,1.09
usfullsurveyor2015,disagreeable,modifier,-1.36,-0.07,1.15
usfullsurveyor2015,disappoint,behavior,-2.75,-0.2,-1.01
usfullsurveyor2015,disappointed,modifier,-2.42,-1.15,-1.39
usfullsurveyor2015,disapprove_of,behavior,-0.81,1.1,-0.03
usfullsurveyor2015,disapproving,modifier,-1.57,0.46,0.12
usfullsurveyor2015,disbelieve,behavior,-0.72,0.74,-0.4
usfullsurveyor2015,discharge,behavior,-0.46,1.54,0.2
usfullsurveyor2015,disciplinarian,identity,-0.02,1.85,1.02
usfullsurveyor2015,discipline,behavior,0.92,1.9,1.07
usfullsurveyor2015,discomfort,behavior,-2.29,0.59,0.52
usfullsurveyor2015,disconcert,behavior,-1.4,0.44,0.01
usfullsurveyor2015,disconcerted,modifier,-1.48,-0.61,-0.18
usfullsurveyor2015,discontented,modifier,-2.06,-0.48,-0.99
usfullsurveyor2015,discourage,behavior,-2.55,0.05,0.22
usfullsurveyor2015,discouraged,modifier,-2.46,-1.57,-1.85
usfullsurveyor2015,discredit,behavior,-1.79,1.24,0.64
usfullsurveyor2015,discreet,modifier,1.04,0.98,-2.13
usfullsurveyor2015,discriminate_against,behavior,-3.49,-0.05,0.29
usfullsurveyor2015,discuss_something_with,behavior,1.63,1.4,0.23
usfullsurveyor2015,disenchant,behavior,-1.34,0.42,-0.01
usfullsurveyor2015,disgrace,behavior,-2.5,0.66,0.44
usfullsurveyor2015,disgusted,modifier,-2.27,0.22,0.43
usfullsurveyor2015,disheartened,modifier,-2.47,-1.13,-1.66
usfullsurveyor2015,dishonest,modifier,-3.14,-0.28,-0.26
usfullsurveyor2015,dishwasher,identity,1.7,0.11,1.23
usfullsurveyor2015,disillusion,behavior,-1.73,1.09,0.37
usfullsurveyor2015,dislike,behavior,-1.19,0.47,-0.17
usfullsurveyor2015,disloyal,modifier,-3.1,0.07,0.1
usfullsurveyor2015,dismay,behavior,-1.88,0.26,-0.01
usfullsurveyor2015,dismayed,modifier,-1.93,-0.64,-0.78
usfullsurveyor2015,dismiss,behavior,-1.68,1.18,0.35
usfullsurveyor2015,disobedient,modifier,-2.07,0.11,1.2
usfullsurveyor2015,disobey,behavior,-1.39,0.88,0.59
usfullsurveyor2015,disparage,behavior,-2.27,0.44,0.31
usfullsurveyor2015,displease,behavior,-1.82,0.06,0.22
usfullsurveyor2015,displeased,modifier,-2.07,-0.32,-0.7
usfullsurveyor2015,dispute,behavior,-0.1,1.32,1.54
usfullsurveyor2015,disqualify,behavior,-1.13,1.5,0.76
usfullsurveyor2015,disregard,behavior,-1.94,0.11,-0.66
usfullsurveyor2015,disregard,identity,-1.04,0.47,-0.13
usfullsurveyor2015,disreputable,modifier,-2.13,-0.77,0.86
usfullsurveyor2015,disrespect,behavior,-3.1,0.26,0.95
usfullsurveyor2015,disrespectful,modifier,-3.06,-0.74,1.1
usfullsurveyor2015,dissatisfied,modifier,-2.45,-0.79,-1.47
usfullsurveyor2015,dissuade,behavior,0.03,1.54,0.4
usfullsurveyor2015,distant,modifier,-1.36,-0.06,-2.06
usfullsurveyor2015,distract,behavior,-0.94,1.05,1.27
usfullsurveyor2015,distress,behavior,-2.13,0.85,0.93
usfullsurveyor2015,distressed,modifier,-2.43,-1.28,0.6
usfullsurveyor2015,district_attorney,identity,0.8,2.38,1.16
usfullsurveyor2015,distrust,behavior,-1.45,0.8,-0.6
usfullsurveyor2015,distrustful,modifier,-2.21,-0.48,-0.41
usfullsurveyor2015,disturb,behavior,-2.12,0.86,1.54
usfullsurveyor2015,disturbed,modifier,-2.4,-0.42,0.23
usfullsurveyor2015,divorce,behavior,-2.02,1.16,0.22
usfullsurveyor2015,divorce,identity,-1.43,0.94,0.57
usfullsurveyor2015,divorce_lawyer,identity,-0.33,1.96,0.81
usfullsurveyor2015,divorced,modifier,-1.69,-0.36,0.13
usfullsurveyor2015,divorcee,identity,-0.87,0.05,0.17
usfullsurveyor2015,do_nothing,identity,-2.01,-2.62,-2.23
usfullsurveyor2015,doctor,identity,2.69,2.94,0.37
usfullsurveyor2015,dogmatic,modifier,-0.11,0.31,0.71
usfullsurveyor2015,doll,identity,1.37,-1.6,-2.03
usfullsurveyor2015,dolt,identity,-0.97,-1.41,-1
usfullsurveyor2015,dominant,modifier,0.83,2.9,1.68
usfullsurveyor2015,dominate,behavior,-1.39,2.37,1.78
usfullsurveyor2015,domineering,modifier,-1.36,2.29,1.45
usfullsurveyor2015,dope,identity,-1.22,-1.5,-1.14
usfullsurveyor2015,dote_on,behavior,0.64,0.39,0.1
usfullsurveyor2015,double_cross,behavior,-2.95,1.04,0.67
usfullsurveyor2015,doubt,behavior,-0.96,0.43,-0.45
usfullsurveyor2015,doubtful,modifier,-1.29,-0.86,-1.21
usfullsurveyor2015,downhearted,modifier,-2.07,-1,-1.8
usfullsurveyor2015,drag_queen,identity,0.33,0.58,2.01
usfullsurveyor2015,draw_near_to,behavior,1.55,1.08,-0.82
usfullsurveyor2015,dress,behavior,1.29,1.11,-0.25
usfullsurveyor2015,drink_to,behavior,1.19,1.05,1.52
usfullsurveyor2015,drink_with,behavior,0.9,0.69,1.02
usfullsurveyor2015,drive_out,behavior,-1.35,1.33,1.09
usfullsurveyor2015,drone_on_at,behavior,-2.06,-0.4,-0.1
usfullsurveyor2015,dropout,identity,-1.87,-2.3,-0.71
usfullsurveyor2015,drowsy,modifier,-1.7,-1.22,-2.36
usfullsurveyor2015,drug,behavior,-3.36,0.99,-0.46
usfullsurveyor2015,drug_addict,identity,-2.54,-2.31,0.02
usfullsurveyor2015,drug_dealer,identity,-2.24,1.48,-0.54
usfullsurveyor2015,drunk,identity,-1.67,-1.47,1.7
usfullsurveyor2015,drunkard,identity,-2.17,-1.78,0.73
usfullsurveyor2015,drunken,modifier,-1.32,-1.59,1.76
usfullsurveyor2015,dull,modifier,-2.02,-2.12,-2.57
usfullsurveyor2015,dumb,modifier,-2.18,-2.13,-1.41
usfullsurveyor2015,dummy,identity,-1.27,-2.23,-1.52
usfullsurveyor2015,dunce,identity,-1.68,-2.13,-0.98
usfullsurveyor2015,dupe,behavior,-2.4,0.78,0.39
usfullsurveyor2015,dutiful,modifier,2.11,1.38,-0.12
usfullsurveyor2015,eager,modifier,1.45,0.96,1.79
usfullsurveyor2015,earnest,modifier,2.32,1.42,-0.34
usfullsurveyor2015,easygoing,modifier,1.96,0.91,-0.88
usfullsurveyor2015,eat_with,behavior,2.71,1.25,1
usfullsurveyor2015,eccentric,modifier,1.08,1.16,1.72
usfullsurveyor2015,economist,identity,0.87,0.93,-0.26
usfullsurveyor2015,ecstatic,modifier,2.77,2.27,2.22
usfullsurveyor2015,editor,identity,1.08,1.7,0.23
usfullsurveyor2015,educate,behavior,3.34,3.25,0.23
usfullsurveyor2015,educated,modifier,3.43,3.34,0.4
usfullsurveyor2015,education_administrator,identity,1.43,2.09,0.56
usfullsurveyor2015,educator,identity,2.42,2.52,0.26
usfullsurveyor2015,effective,modifier,2.92,2.84,0.73
usfullsurveyor2015,efficient,modifier,2.99,2.71,1.39
usfullsurveyor2015,egoistic,modifier,-2.17,0.17,1.44
usfullsurveyor2015,egotistical,modifier,-1.89,0.16,1.4
usfullsurveyor2015,elated,modifier,2.92,2.11,1.47
usfullsurveyor2015,elbow,behavior,-1.66,0.44,1.02
usfullsurveyor2015,elderly,modifier,0.58,-0.73,-2.06
usfullsurveyor2015,elect,behavior,1.86,2.75,1.76
usfullsurveyor2015,electrical_engineer,identity,1.71,1.61,0.28
usfullsurveyor2015,electrical_linesman,identity,1.01,0.64,0.34
usfullsurveyor2015,electrician,identity,1.26,0.43,-0.11
usfullsurveyor2015,elegant,modifier,2.18,1.78,-0.64
usfullsurveyor2015,elementary_school_student,identity,1.4,-0.85,2.08
usfullsurveyor2015,elementary_school_teacher,identity,2.66,1.81,0.71
usfullsurveyor2015,elude,behavior,-0.48,0.3,-0.63
usfullsurveyor2015,embarrass,behavior,-2.36,0.95,1.45
usfullsurveyor2015,embarrassed,modifier,-2.09,-1.35,-0.6
usfullsurveyor2015,embezzle_from,behavior,-3.13,0.69,-0.36
usfullsurveyor2015,embittered,modifier,-1.62,-1.07,-0.76
usfullsurveyor2015,embrace,behavior,3.13,2.49,-0.82
usfullsurveyor2015,emotional,modifier,0,-0,0.31
usfullsurveyor2015,empathetic,modifier,2.45,1.62,-0.98
usfullsurveyor2015,employ,behavior,2.43,2.52,0.21
usfullsurveyor2015,employed,modifier,3.19,2.24,0.75
usfullsurveyor2015,employee,identity,1.04,-0.37,0.2
usfullsurveyor2015,employer,identity,1.57,2.56,0.7
usfullsurveyor2015,empty,modifier,-3.19,-2.01,-2.63
usfullsurveyor2015,emulate,behavior,0.7,0.57,0.12
usfullsurveyor2015,enchant,behavior,1.56,2,-0.02
usfullsurveyor2015,encourage,behavior,3.44,2.9,1.23
usfullsurveyor2015,endanger,behavior,-3.21,1.13,1.22
usfullsurveyor2015,endorse,behavior,1.81,1.72,1.02
usfullsurveyor2015,endure,behavior,0.38,0.64,-1.06
usfullsurveyor2015,enemy,identity,-2.77,1.07,0.95
usfullsurveyor2015,energetic,modifier,2.89,2.56,2.78
usfullsurveyor2015,engage,behavior,1.79,1.97,1.17
usfullsurveyor2015,engineer,identity,1.75,1.94,0.3
usfullsurveyor2015,enjoy,behavior,2.94,1.99,0.54
usfullsurveyor2015,enrage,behavior,-2.34,1.63,1.95
usfullsurveyor2015,enraged,modifier,-2.58,1.34,2.7
usfullsurveyor2015,enrapture,behavior,0.18,1.89,0.55
usfullsurveyor2015,enslave,behavior,-3.87,2.18,1.38
usfullsurveyor2015,ensnare,behavior,-1.66,1.17,0.55
usfullsurveyor2015,enterprising,modifier,1.46,1.85,1.05
usfullsurveyor2015,entertain,behavior,2.21,1.63,1.92
usfullsurveyor2015,enthrall,behavior,1.69,2.05,1.35
usfullsurveyor2015,enthralled,modifier,1.87,1.51,1.35
usfullsurveyor2015,enthusiastic,modifier,2.85,2.35,2.31
usfullsurveyor2015,entice,behavior,0.16,1.64,0.09
